Nr,Date,Time,f [Hz],Signal,Noise
92,2023-06-09,17:06:54.891,1016.3836167611324,286282.57011471706,3746.537342458005
92,2023-06-09,17:06:54.898,1024.6730979056233,516341.8177278749,3510.47721787723
92,2023-06-09,17:06:54.911,1007.8125224845425,106548.34783940547,3583.6610739229372
92,2023-06-09,17:06:54.924,1010.1331268596097,140060.49047011978,4233.729137653434
92,2023-06-09,17:06:54.936,1010.1680070263028,185363.80168275596,5251.359190297498
92,2023-06-09,17:06:54.949,1007.9500071223702,135242.94569717764,5064.517787180307
92,2023-06-09,17:06:54.959,1006.9837170407997,58828.641771308285,3376.4541231188655
92,2023-06-09,17:06:54.969,-1.0,0,3726.218465579846
92,2023-06-09,17:06:54.979,1149.4260149639583,52395.70212336615,4703.982469934508
93,2023-06-09,17:07:01.139,898.9858686359388,40742.21300263419,2731.5854837505394
93,2023-06-09,17:07:01.146,953.4700763737503,61949.204443375624,4325.749672825228
93,2023-06-09,17:07:01.154,981.6692810435956,81747.89913866196,3800.8124718998806
93,2023-06-09,17:07:01.161,992.8962544782147,139956.01130166603,3390.793368204623
93,2023-06-09,17:07:01.169,-1.0,0,5774.393239269003
93,2023-06-09,17:07:01.184,995.379252745219,51758.778455446554,3550.2479096555335
94,2023-06-09,17:07:29.182,981.163695030964,20935.585942361082,2863.653998081486
94,2023-06-09,17:07:29.189,997.5295385477542,80137.39446357074,2373.99010461313
94,2023-06-09,17:07:29.204,1007.9999179007572,69290.69787041143,3386.2966267535303
94,2023-06-09,17:07:29.219,-1.0,0,3236.516426277828
94,2023-06-09,17:07:29.234,1006.0674423993281,233861.42003893567,4359.598334813497
94,2023-06-09,17:07:29.249,1004.7140924995255,257178.06549870592,5899.774893743337
94,2023-06-09,17:07:29.262,1005.7713705609957,136934.0294069684,4052.596590413109
94,2023-06-09,17:07:29.274,-1.0,0,3872.916724129349
94,2023-06-09,17:07:29.287,1005.9494516217071,320374.28765710583,2254.8118094946462
94,2023-06-09,17:07:29.300,1012.3377371211624,330044.9237526846,3709.49251247354
